
Radioactive Diagnostic Agent [EPC],CAT013,Others
RNA Synthetase Inhibitor Antibacterial [EPC],CAT013,Others
RANK Ligand Blocking Activity [MoA],CAT013,Others
Pyridone [EPC],CAT013,Others
Pyrethrins [CS],CAT013,Others
Tetracycline-class Drug [EPC],CAT013,Others
Thalidomide Analog [EPC],CAT013,Others
Thymic Stromal Lymphopoietin Blocker [EPC],CAT013,Others
Thyroid Hormone Synthesis Inhibitor [EPC],CAT013,Others
Zaire Ebolavirus Glycoprotein-directed Antibody Interactions [MoA],CAT013,Others
Xanthine Oxidase Inhibitor [EPC],CAT013,Others
Vitamin K Antagonist [EPC],CAT013,Others
Vitamin D [CS],CAT013,Others
Vitamin D Analog [EPC],CAT013,Others
Vitamin B 12 [CS],CAT013,Others
Vitamin A [CS],CAT013,Others
Vinca Alkaloid [EPC],CAT013,Others
Vesicular Monoamine Transporter 2 Inhibitor [EPC],CAT013,Others
Vasopressin V2 Receptor Antagonist [EPC],CAT013,Others
Vasopressin Receptor Agonist [EPC],CAT013,Others
Vasodilation [PE],CAT013,Others
Purine Antimetabolite [EPC],CAT013,Others
Vasoconstriction [PE],CAT013,Others
VEGFR2 Inhibitors [MoA],CAT013,Others
Urease Inhibitor [EPC],CAT013,Others
Urate Oxidase [CS],CAT013,Others
UNKNOWN,CAT013,Others
Tyrosine Kinase 2 Inhibitor [EPC],CAT013,Others
Type I Interferon Receptor Antagonist [EPC],CAT013,Others
Tryptophan Hydroxylase Inhibitor [EPC],CAT013,Others
Triiodothyronine [CS],CAT013,Others
Topoisomerase Inhibitor [EPC],CAT013,Others
Tissue Factor Pathway Inhibitor Antagonist [EPC],CAT013,Others
Thyroxine [CS],CAT013,Others
Thyroid Stimulating Hormone [EPC],CAT013,Others
Vascular Endothelial Growth Factor Inhibitor [EPC],CAT013,Others
Methylating Activity [MoA],CAT013,Others
Proteasome Inhibitor [EPC],CAT013,Others
Prostaglandin E1 Analog [EPC],CAT013,Others
P-Glycoprotein Inhibitors [MoA],CAT013,Others
Oxidation-Reduction Activity [MoA],CAT013,Others
Oxazolidinone Antibacterial [EPC],CAT013,Others
Osmotic Activity [MoA],CAT013,Others
Organic Cation Transporter 2 Inhibitors [MoA],CAT013,Others
Organic Anion Transporting Polypeptide 2B1 Inhibitors [MoA],CAT013,Others
Orexin Receptor Antagonist [EPC],CAT013,Others
Oligonucleotide Telomerase Inhibitor [EPC],CAT013,Others
Nucleic Acid Synthesis Inhibitors [MoA],CAT013,Others
Nuclear Export Inhibitor [EPC],CAT013,Others
Norepinephrine Uptake Inhibitors [MoA],CAT013,Others
Glucosylceramide Synthase Inhibitor [EPC],CAT013,Others
Nitroimidazole Antimicrobial [EPC],CAT013,Others
Nitrofuran Antibacterial [EPC],CAT013,Others
Nicotinic Acid [EPC],CAT013,Others
Neuraminidase Inhibitor [EPC],CAT013,Others
Nerve Growth Factor [CS],CAT013,Others
Neonatal Fc Receptor Blocker [EPC],CAT013,Others
N-methyl-D-aspartate Receptor Antagonist [EPC],CAT013,Others
Mood Stabilizer [EPC],CAT013,Others
Monobactam Antibacterial [EPC],CAT013,Others
Monoamine Oxidase Inhibitor [EPC],CAT013,Others
Mineralocorticoid Receptor Antagonists [MoA],CAT013,Others
Microtubule Inhibition [PE],CAT013,Others
Methylxanthine [EPC],CAT013,Others
P-Selectin Blockers [MoA],CAT013,Others
PPAR alpha [CS],CAT013,Others
Parathyroid Hormone Analog [EPC],CAT013,Others
Parathyroid Hormone-Related Peptide Analog [EPC],CAT013,Others
Prostaglandin Analog [EPC],CAT013,Others
Prostacycline [EPC],CAT013,Others
Prostacyclin Receptor Agonist [EPC],CAT013,Others
Programmed Death Receptor-1 Blocking Antibody [EPC],CAT013,Others
Progesterone [CS],CAT013,Others
Progesterone Congeners [CS],CAT013,Others
Progesterone Agonist/Antagonist [EPC],CAT013,Others
Progestational Hormone Receptor Antagonists [MoA],CAT013,Others
Potassium Channel Antagonists [MoA],CAT013,Others
Potassium Binder [EPC],CAT013,Others
Positron Emitting Activity [MoA],CAT013,Others
Porphyrin Precursor [EPC],CAT013,Others
Prostaglandin E2 Receptor Agonist [EPC],CAT013,Others
Polymyxin-class Antibacterial [EPC],CAT013,Others
Poly(ADP-Ribose) Polymerase Inhibitor [EPC],CAT013,Others
Platinum-based Drug [EPC],CAT013,Others
Photoabsorption [MoA],CAT013,Others
Phosphodiesterase 5 Inhibitor [EPC],CAT013,Others
Phosphodiesterase 4 Inhibitor [EPC],CAT013,Others
Phosphodiesterase 3 Inhibitor [EPC],CAT013,Others
Phosphate Binder [EPC],CAT013,Others
Phenylalanine Ammonia-Lyase [CS],CAT013,Others
Phenothiazine [EPC],CAT013,Others
Peroxisome Proliferator Receptor alpha Agonist [EPC],CAT013,Others
Pediculicide [EPC],CAT013,Others
Partial Cholinergic Nicotinic Agonist [EPC],CAT013,Others
Polyene Antimicrobial [EPC],CAT013,Others
Glucosylceramidase [CS],CAT013,Others
Fibric Acids [CS],CAT013,Others
Genitourinary Arterial Vasodilation [PE],CAT013,Others
Bispecific gp100 Peptide-HLA-directed CD3 T Cell Engager [EPC],CAT013,Others
Bispecific CD20-directed CD3 T Cell Engager [EPC],CAT013,Others
Bismuth [CS],CAT013,Others
Bile Salt Export Pump Inhibitors [MoA],CAT013,Others
Bile Acid [EPC],CAT013,Others
Bile Acid Sequestrant [EPC],CAT013,Others
Biguanide [EPC],CAT013,Others
Benzothiazole [EPC],CAT013,Others
Benzodiazepine [EPC],CAT013,Others
Benzodiazepine Antagonist [EPC],CAT013,Others
Bcr-Abl Tyrosine Kinase Inhibitors [MoA],CAT013,Others
Barbiturate [EPC],CAT013,Others
Bisphosphonate [EPC],CAT013,Others
BCL-2 Inhibitor [EPC],CAT013,Others
Autonomic Ganglionic Blocker [EPC],CAT013,Others
Asparaginase [CS],CAT013,Others
Ascorbic Acid [CS],CAT013,Others
Aryl Hydrocarbon Receptor Agonist [EPC],CAT013,Others
Arteriolar Vasodilation [PE],CAT013,Others
Aromatase Inhibitor [EPC],CAT013,Others
Appetite Suppression [PE],CAT013,Others
Antitoxins [CS],CAT013,Others
Antithrombin-directed RNA Interaction [EPC],CAT013,Others
Antisense Oligonucleotide [EPC],CAT013,Others
Antirheumatic Agent [EPC],CAT013,Others
Antiprotozoal [EPC],CAT013,Others
B Lymphocyte Stimulator-directed Antibody Interactions [MoA],CAT013,Others
Blood Coagulation Factor [EPC],CAT013,Others
Blood Coagulation Factors [CS],CAT013,Others
Blood Viscosity Reducer [EPC],CAT013,Others
Carbonic Anhydrase Inhibitor [EPC],CAT013,Others
Glinide [EPC],CAT013,Others
Carbamoyl Phosphate Synthetase 1 Activator [EPC],CAT013,Others
Cannabinoids [CS],CAT013,Others
Cannabinoid [EPC],CAT013,Others
Calculi Dissolution Agent [EPC],CAT013,Others
Calcium-sensing Receptor Agonist [EPC],CAT013,Others
Calcium [CS],CAT013,Others
Calcitonin [CS],CAT013,Others
Calcitonin Gene-related Peptide Receptor Antagonist [EPC],CAT013,Others
Calcitonin Gene-related Peptide Antagonist [EPC],CAT013,Others
Calcineurin Inhibitor Immunosuppressant [EPC],CAT013,Others
CTLA-4-directed Antibody Interactions [MoA],CAT013,Others
CD80-directed Antibody Interactions [MoA],CAT013,Others
CD52-directed Antibody Interactions [MoA],CAT013,Others
CD33-directed Antibody Interactions [MoA],CAT013,Others
CD30-directed Antibody Interactions [MoA],CAT013,Others
CD3-directed Antibody Interactions [MoA],CAT013,Others
CD25-directed Cytotoxin [EPC],CAT013,Others
CD22-directed Antibody Interactions [MoA],CAT013,Others
CD20-directed Antibody Interactions [MoA],CAT013,Others
CD19-directed Antibody Interactions [MoA],CAT013,Others
CD123 Interaction [EPC],CAT013,Others
CCR5 Co-receptor Antagonist [EPC],CAT013,Others
Bruton's Tyrosine Kinase Inhibitors [MoA],CAT013,Others
Bradykinin B2 Receptor Antagonist [EPC],CAT013,Others
Boron Compounds [CS],CAT013,Others
Antimycobacterial [EPC],CAT013,Others
Carboxypeptidase [EPC],CAT013,Others
Antimetabolite [EPC],CAT013,Others
Antimalarial [EPC],CAT013,Others
Amide Local Anesthetic [EPC],CAT013,Others
Aluminum Complex [EPC],CAT013,Others
Allogeneic Cultured Cell Scaffold [EPC],CAT013,Others
Alkylating Activity [MoA],CAT013,Others
Alkaloid [EPC],CAT013,Others
Alkalinizing Activity [MoA],CAT013,Others
Alkaline Phosphatase [CS],CAT013,Others
Aldosterone Antagonist [EPC],CAT013,Others
Adrenocorticotropic Hormone [CS],CAT013,Others
Adrenergic alpha2-Agonists [MoA],CAT013,Others
Adrenergic alpha1-Agonists [MoA],CAT013,Others
Adrenergic alpha-Antagonists [MoA],CAT013,Others
Amino Acid [EPC],CAT013,Others
Adrenergic alpha-Agonists [MoA],CAT013,Others
Adrenal Steroid Synthesis Inhibitor [EPC],CAT013,Others
Adenosine Triphosphate-Citrate Lyase Inhibitor [EPC],CAT013,Others
Adenosine Receptor Agonists [MoA],CAT013,Others
Adenosine Receptor Agonist [EPC],CAT013,Others
Actively Acquired Immunity [PE],CAT013,Others
Actinomycin [EPC],CAT013,Others
Acidifying Activity [MoA],CAT013,Others
APOC-III-directed RNA Interaction [EPC],CAT013,Others
AMPA Receptor Antagonists [MoA],CAT013,Others
5-alpha Reductase Inhibitor [EPC],CAT013,Others
5-Lipoxygenase Inhibitor [EPC],CAT013,Others
4-Hydroxyphenyl-Pyruvate Dioxygenase Inhibitor [EPC],CAT013,Others
Adrenergic Agonists [MoA],CAT013,Others
Amino Acids,CAT013,Others
Aminoglycoside Antibacterial [EPC],CAT013,Others
Aminoketone [EPC],CAT013,Others
Antileishmanial [EPC],CAT013,Others
Antigens,CAT013,Others
